gaged_reach_id,riv_sim_flux,drn_sim_flux,ghb_sim_flux,sim_flux_total,obs_flux_total,residual,residual_fraction
2320500,-3.1355020e+05,0.0000000e+00,0.0000000e+00,-3.1355020e+05,-2.5920000e+07,-2.5606450e+07,9.8790316e-01
2322700,-4.2429483e+06,0.0000000e+00,0.0000000e+00,-4.2429483e+06,-1.7280000e+07,-1.3037052e+07,7.5445901e-01
2322800,-3.2909710e+05,0.0000000e+00,0.0000000e+00,-3.2909710e+05,-3.4560000e+07,-3.4230903e+07,9.9047751e-01
2322500,-3.5143800e+04,0.0000000e+00,0.0000000e+00,-3.5143800e+04,0.0000000e+00,3.5143800e+04,-1.2345000e+25
